tag,question,clarification,scale
v2xlg_elecreg,"At this time, are regularly scheduled national elections on the legislature on course, as stipulated by election law or well-established precedent?","Although we advice against it, since the executive and legislative electoral regime should be considered an integral part, for completeness we also provide this separate measure of legislative electoral regimes. Coded 0 until a legislative election is held, defined by v2xel\_elecparl, then set to 1 until any of the following two events occur (if they occur): (a) that the election was ""aborted"", meaning that those elected did not resume power,  as defined by v2x\_legabort; or (b) an ""electoral interruption"", meaning that the legislature was shut down, as defined by v2x\_leginter; in the case of (a) or (b), v2x\_elecreg is set to 0 until there is another election.",Dichotomous.
wdi_gdp_pcap,per capita GDP,,Interval
wdi_total_pop,Total population,,Interval
wdi_unemployment,% unemployment,,Interval
wdi_gdp_growth,% GDP growth from previous year,,Interval
wdi_resource_rents,% of GDP from natural resource rents,,Interval
wdi_oil_rents,% of GDP from oil rents,,Interval
wdi_life_expectancy,life expectancy at birth,,Interval
number_attacks_last_year,number of attacks in the prior year,,Interval
any_attacks,were there any attacks this year? ,,Dichotomous
