partyid,id,libcon,age,biden_likes,biden_dislikes,trump_likes,trump_dislikes,mipp_1
5. Independent-Republican,207184,5. Slightly conservative,58,NA,He is not trust worthy and i believe he does not have the mental capacity for the job,He gets things done unlike most politicians,NA,"The trend towards socialism, immigration, and the lack of respect for the law enforcement"
6. Not very strong Republican,207191,5. Slightly conservative,64,NA,i do not feel mr biden is mentally capable of running the country,very strong leader who has america at heart,NA,covid as a small business owner i fear not surviving
4. Independent,207207,4. Moderate; middle of the road,34,NA,NA,NA,I don't like that he is a sorry ass racist person and he runs the United States like a business and we are not a business we are a nation I do not like him because of the type of person he is and his views on Hispanic and people of color,The covid 19 virus is out of hand right now I'm hoping that these damn people get a
1. Strong Democrat,207214,1. Extremely liberal,36,He's decent and a good human being and I believe he's honest and has integrity.,NA,NA,"He's a psychopathic narcissist with fascist tendencies. He is a traitor to our democracy, he is so corrupt that no other president in U.S. history compares, and his ongoing actions imperil the safety and health of our future and the planet.","Climate Change, Erosion of our Democratic institutions, Corruption and Social/Economic/Racial Inequality, Police Violence and Anti-Blackness, Capitalism run-amok, underfunding of education"
2. Not very strong Democrat,207221,99. Haven't thought much about this,44,NA,NA,NA,NA,health and economy
5. Independent-Republican,207238,5. Slightly conservative,54,NA,Age - Running Mate - 47 years in Politics,Outsider - only other option - seems to put America first and hold the Constitution high4 years of decent accomplishments in spite of the media and the Left,He has No couthHe's narcissistic,Identity PoliticsDivisive Politics - attempt to run the country from the Far Left and Far RightCrooked & out of touch politicians$27 Trillion of debtHealth Care
2. Not very strong Democrat,207245,3. Slightly liberal,28,"He's moderateHe listens to different argumentsHe articulates thoughts, albeit with gaffs, but there is a sound argument somewhere in thereHe's not Trump. That's the biggest one.",Rape allegations,NA,"Twists facts to fit his narrativeDoes not admit/apologize when he makes a mistakeStarted a trade war with ChinaPut a partisan person in charge of the postal serviceRefused to wear a maskDid not make a national effort to acquire masks and other supplies in the beginning of the pandemic, leading to states bidding against each other Golfing all the timeWatching news all the timeDegrading statements about womenDismissive statements about opponents with no substance to back it upRacist business practices (avoided renting to black people)Colluding with RussiaAlways generating a scandal","COVID. We need to slow the spread so that we can operate normally again (in that order). This will boost the economy and allow schools to reopen safely (two more big topics that are follow from stopping the pandemic).The environment, we need to reinstate regulations that have been revoked/unenforced by the Trump administration. Similarly, we need to invest in green energy. This initiative will create jobs.Homelessness, we need more no-strings-attached ways to house homeless and help them get back on their feet."
7. Strong Republican,207252,4. Moderate; middle of the road,-9. Refused,NA,too old and forgetfull,"Economy, good stock market",his twitters,"economics,  stock market"
7. Strong Republican,207276,6. Conservative,77,NA,"He is a long-time Washington politico who appears not to have accomplished much in 40+ years.  Also, there are issues regarding his inappropriate dealings on behalf of his son Hunter that I find concerning.","He cares deeply about America and the American people.  He is not a Washington swamp creature, but rather a very astute businessman.",NA,Corruption of government agencies seemingly supported by Democrats
5. Independent-Republican,207290,7. Extremely conservative,70,NA,"He is mentally deficient and has been for a couple of years. He has been wrong on just about everything throughout his career. He and his family are corrupt. And worst of all he would be a figure head president which would open the door for the radical left to make more gains than ever, perhaps permanently, and possibly there would be no undoing of the damage.","He is a strong leader committed to putting the natiional interest first. He pro-capitalist, pro-business, and pro-constitution in its original intent.",NA,Democrats stealing the 2020 election. Just their latest (and biggest) assault upon The Constitutional Republic of The United States of America.
6. Not very strong Republican,207306,3. Slightly liberal,28,NA,NA,NA,NA,covid 19 has taken over.Stores have not much food most of the white people are racist and most police officers too
3. Independent-Democrat,207313,4. Moderate; middle of the road,30,He is not Donald Trump.,NA,NA,"He is narcissistic, not presidential material, corrupt person.","Division among Democrats and Republican, social problems (BLM, #MeToo, Immigration)."
1. Strong Democrat,207320,1. Extremely liberal,37,"He's a decent guy.  I would prefer someone more liberal such as Bernie Sanders or Elizabeth Warren, but Joe Biden will be a decent president I think.",Policies are not liberal enough. But hes much better than the alternative.,NA,Where to start.  Racism.  Fascism.  Pathological liar.  Con artist.   Very low IQ.   I could go on.,Global warming/Too much money in politics/Jerrymandering/voter suppression.
7. Strong Republican,207337,6. Conservative,45,NA,His health and his views on health care.,"He has brought more jobs back to the US, has strengthen the economy, is a business man not a politician.",His terrible Tweets and his retractions or then deletes them.,"covid 19, economy, unemployment"
1. Strong Democrat,207344,2. Liberal,68,He's a democrat. Does not seem to be corrupt. He's not Trump. Baby steps.,NA,NA,"Seriously, where do I start. He's out of his mind.",Greatest problem after Trump defeat is getting Mitch McConnell out of power in senate.
6. Not very strong Republican,207351,5. Slightly conservative,80. Age 80 or older,NA,"AGE, TO OLD  MIND NOT WORKING",I LIKE MOST OF HIS RECORD,NA,No respect of each other
6. Not very strong Republican,207368,4. Moderate; middle of the road,41,NA,Kneel to the violent,"law and order,cut the tax",NA,"Economy and employment, merit-based admission, equal opportunities, traditional values"
1. Strong Democrat,207375,1. Extremely liberal,32,"Honesty, integrity, equal rights for all races, genders, sexual orientations. Universal healthcare. Environmental protections.",NA,NA,"He wont denounce racism. He stirs up violence and hateful rhetoric in this country. He hires people who have dishonest backgrounds and ill intentions for how they run government. His lack of respect for all genders, races, sexual orientations. Anti-abortion.",Racial injustice
3. Independent-Democrat,207382,4. Moderate; middle of the road,24,NA,"hes demented. not being rude - comparing videos of him from just a couple years ago, hes rapidly decaying. in 4 years, he honestly might have a silver alert out on him","He’s stupid, but not demented","Hes just another politician. i thought he would represent the people, but he doesnt. he authorizes money to the rich, while perpetuating the war in afghanistan. he promised to decrease the national debt, he almost doubled it.",An economy that doesn't work for everyone
1. Strong Democrat,207399,3. Slightly liberal,-9. Refused,He's not trump.,NA,NA,"He is a racist, sexist,corrupt liar who is destroying our democracy to make money and shield himself from his crimes.",Racial and financial inequality
1. Strong Democrat,207405,99. Haven't thought much about this,42,"He is for the people, & he would be much better as a  President than Donald Trump is now..",NA,NA,"overall, he is by far the worst  President I have experienced in my years of living that i can remember.","not sure Police brutality, and Covid"
6. Not very strong Republican,207412,5. Slightly conservative,26,NA,Difficulty with memory and pubic speaking.,I have core Republican values,His arrogance and general views against LGBT.,"COVID-19 pandemic, gun violence, riots"
1. Strong Democrat,207436,2. Liberal,50,Decency. Empathy. Connections to people.,NA,NA,He lies. All about money. Horrible response to pandemic.,CoronavirusTrust on the world stageClimate Change
4. Independent,207443,4. Moderate; middle of the road,46,Integrity PresidentialExperience,Age and mental acuity,NA,He is dishonestPoor handling of Covid-19lacks integrityPoor character Juvenile behaviorIgnorant on science/geography/culturelacks humility lacks leadership traitsself centered arrogant racist sexist,Covid-19Wage gapRacial equality
2. Not very strong Democrat,207450,99. Haven't thought much about this,52,He is not Trump. Noway he can do as bad a job.,NA,NA,"Everything,about him and what he does.",the Racial divide
7. Strong Republican,207467,99. Haven't thought much about this,35,NA,He supports abortion.,He supports the biblical principles that i stand for.,NA,hidden agendas and morals are devalued
2. Not very strong Democrat,207474,99. Haven't thought much about this,76,He is the better the better choice !,NA,NA,He can't tell the truth !,"Covice 19 , when I first heard of it , I though I will not survive this disease and that has not changed !"
1. Strong Democrat,207481,2. Liberal,63,"His life-long experience in politics, legislation, and as Barack Obama's VP.  My country desperately needs a re-set back to decency, compassion, non-divisiveness.  I believe Joe is capable of making this happen.",NA,NA,"His ignorance of the law and our Constitution.  His greediness and use of the presidency to enrich himself, his family, and rich friends.  His racism, hypocrisy, xenophobia. His shady connection to Putin.  His disgusting, vile rhetoric and lack of compassion, empathy, and kindness.  His divisiveness and attempt to fan the flames of hate and racism.",Divisiveness; racism; wealth inequality.
4. Independent,207511,4. Moderate; middle of the road,39,"He is not Donald Trump. He seems fairly vanilla and much more safe as a president. Isn't going to stir a bunch of chaos in our country. Frankly, he seems boring as a candidate, but Donald Trump helped me realize that boring is exactly what America needs in a president. No scandals, no wars, no severing relationships with other world powers. We need a strong leader, who isn't thin skinned and feels the need to reply to every single criticism hurled his way. I've decided I no longer want to read in the news everyday every single little embarrassing detail about what the president did or said that makes me want to cringe. I want a president that will keep our country running and growing, and inspires, leads and unites us when we face challenges. But I don't need to hear every single thought in his head. Or every embarrassing thing that he does. Please just give us a boring, plain, career U.S. politician for a president. This whole Washington outsider business was a huge disaster.","If he is only going to drive our national deficit further and further into the ground, and not try to balance our countries spending, then I would have 2nd thoughts about him... but they would be brief in light of the alternative candidate.",NA,"His attitude, chauvinist behavior, narcissist tendencies, isolating America from the rest of the world leaving the door open to China and Russia to fill the vacuum, his racist behavior, his divisiveness, his empty promises, his hate-filled rhetoric, his fear mongering and manipulation of his voting base, his tarnishing of Christ's name by claiming to be a Christian and use of holy texts as props to sell what appears to be a false image of piety, the general chaos he brings to our society, his incessant tweeting, his disregard for the environment and climate change, which is the absolute biggest issue out world is facing right now, his threats to increase the term limit of the presidency by one... stuff like that",Extreme political polarization
6. Not very strong Republican,207528,6. Conservative,28,NA,"cognitive decline, mentally unfit to be leader, does not respect the people who’s vote he’s trying to get. lost the NAPO vote. racist against black people.","strong foreign policy, focus on Americans first, protect civil liberties, expose lying media, building economic growth for individuals, reforming prison sentences",NA,"Progressivism, democratic socialism, critical race theory"
4. Independent,207542,3. Slightly liberal,66,NA,NA,NA,"he is rude, my wife doesnt like him.",corruptionignorance
3. Independent-Democrat,207559,3. Slightly liberal,45,He takes ownership of his decisions. He surrounds himself with experts and listens to their advice. He is compassionate and really listens to people he encounters as well. He celebrates the differences that make the US so multicultural without losing his own traditions and values. He will stand up for American values both at home and abroad.,NA,NA,"I do not like how he talks about people of color, women, people with disabilities, and veterans. I can't trust anything that comes out of his mouth. He refuses to take ownership of his decisions and refuses to seek advice-and take advice-from people with different opinions than his regardless of the fact that they are more educated on the subject than he is.",NA
1. Strong Democrat,207566,1. Extremely liberal,69,"Intelligence, experience, empathy",NA,NA,"a severe character disorder known as malignant narcissism, lack of empathy, lack of knowledge,",covid-19 is a worldwide pandemic killing people
7. Strong Republican,207573,6. Conservative,59,NA,"Socialist, pro-abortion","Christian, pro-life, not ""part of the swamp""",NA,COVID uncertainties.  Will people keep jobs and small businesses stay in business.  Kids need to attend school.
4. Independent,207597,4. Moderate; middle of the road,79,He's the opposite of trump.,NA,NA,He's a lying dishonest crook.,systemic racism
7. Strong Republican,207603,6. Conservative,80. Age 80 or older,NA,he's a democrat and is going to try and change the USA to a socialist form of government,NA,NA,Economy...always the top concern. If it tanks we all go down
4. Independent,207610,4. Moderate; middle of the road,38,NA,he seems clueless,NA,he is selfish and doesn't care about the country,blind faith in rumors and not trusting science
3. Independent-Democrat,207627,3. Slightly liberal,74,He is progressive in his thinking. He is knowledgeable about the issues facing our country. I believe he will work with all people. He will be willing to work with other countries.,Playing politics and being negative about other people.,NA,"He is arrogant, immoral, untruthful and cares little about the interests or needs of others. He is self-centered. He lives to have fights and disagreements with others. I do not believe he is a good leader. His policies do nothing for middle or lower class people.",economic stability
3. Independent-Democrat,207634,5. Slightly conservative,54,I think he's a president for the working class people. I think that he has a strategy for the economic growth he has a strategy for the covid. He can bring calm and peace. I think that he would look into bringing us uniting all americans back again that would be a goal.,Sometimes I think that he -- I don't like it when he avoids answering a direct question. I just prefer him to say no comment or I don't have the information at this time.,NA,"I really try, I don't believe most of things that he's saying. I have a trust issue with him. I don't like his bullying strategies. I don't like the way that he avoids the questions that's being asked. I don't like how he has this country. How much he has divides this country, that's already divided and he adds fuel to the fire.  I also think that he is, I don't like the way that he has hadnled the coronavirus or this pandemic.",COVID-19. It's just the fact that we're waiting for a vaccine and everybody being on the same page.
4. Independent,207641,2. Liberal,45,He has experience as a Vice President.  He doesn’t seem to talk trash.,NA,NA,He disrespectful to others & is petty,"parties are selfish, not enough cooperation & getting stuff done"
4. Independent,207658,4. Moderate; middle of the road,42,"He’s not Donald Trump! Sure he’s a rich, pretty white boy, but he’s not as scary, bigoted or misogynistic as Trump!","He’s a normal, rich politician.",NA,"Lack of honesty with American people!His complete and utter hubris!Bigotry!Unwillingness to listen to professionals such as scientists! He spouts his own ideas claiming they are real and right- that is scary and harmful, in the case of covid, even deadly. Firing of Marie Yovanovitch!",Covid 19 pandemic
7. Strong Republican,207665,7. Extremely conservative,75,NA,He is going to raise taxes. Not pro life. Supports China. Policies are too far left and Socialistic.,He is the right person to be elected for President of the United States because he isn't goingto raise taxes.,NA,"COVID, Unemployment, Social Security, Health Care"
6. Not very strong Republican,207672,99. Haven't thought much about this,33,NA,NA,"it beats the alternative I suppose. that and seeing as the alternative can barely even remember what day it is let alone be a leader of our country. I think he is the safest option , I do.",NA,covid 19 and social distancing school being out and job stability
3. Independent-Democrat,207689,4. Moderate; middle of the road,40,"seems sane, unlike the current President.",I dont think his the best choice for President but neither is Trump.,NA,"where do I start, evil horrible human being!",division among americans
6. Not very strong Republican,207696,99. Haven't thought much about this,56,NA,"I know this is going to sound shallow, but I find him to be too old, too forgetful and quite ""creepy"".",I believe he has done a great job so far despite all the media negativity againt him.,NA,"Covid Pandemic causing mass deaths loss of jobs, and having to close schools and businesses."
5. Independent-Republican,207702,4. Moderate; middle of the road,44,NA,the guy is not honest and will make bad choices for Americans.,"he is honest, i trust him to make good choises for americans.",NA,our freedomw and liberty is being slowly stolen day by day
1. Strong Democrat,207719,99. Haven't thought much about this,80. Age 80 or older,His service as a politician.,NA,The Economy,His skill in the economy.,CovidEconomyImmigrationGlobal WarmingOur Leadership in DCTexas Leadership
1. Strong Democrat,207726,1. Extremely liberal,25,his compassion for our country and the people in it. he genuinely wants to see our nation succeed.,NA,NA,"his blatant disregard to foreign affairs, the corona virus, our country, and the people of it. hes a liar and a crook",economy is suffering because trump doesnt know how to run a country properly
7. Strong Republican,207733,99. Haven't thought much about this,26,NA,he wants to shut down the oil field turn arounds in america,"the way he puts the american people first, [REDACTED DETAILS]",NA,COVID 19. not sure how bad its gonna get
1. Strong Democrat,207740,3. Slightly liberal,75,"Honesty, Integrity,Compassion,Ability to communicate with and negotiate with all parties, and and Belief in the Rule of Law",NA,NA,"Incompetence, Dishonesty, Corruption, Mental instability, Bigotry, and Incomprehensible and inconsistent domestic and foreign policies",COVID 19 Pandemic
1. Strong Democrat,207757,99. Haven't thought much about this,68,"compassion, sympathy and empathy for the American people and the trickle down effects of the covid virus.  he believes in the science when it comes to the virus & the environment!",NA,NA,he does not care about this country and the American people.  he has been systematically tearing down our defenses especially against Russia!,"covid-19—people out of jobs, no income to pay bills and most of all feed their families."
5. Independent-Republican,207764,4. Moderate; middle of the road,27,He has a calm personality but as far as beliefs stemming from a lot of stuff I think the coronavirus is worse than what a lot of people make it out to be but other than I am not a huge supporter of Biden. There is a few things that he wants to do with health care that I do agree with.,"As far as his past records in office he's been in office for an extremely long time and he tends to be a wishy washy candidate whatever the party goes with he tends to lean towarsd which I find normal. But he changed his mind but he would be unwilling to tell you that he changed his mind. He lies to say I always believe this way. He's extremely wishy washy.  The other big things is his case on gun policy, abortion, and there's a few other things but couldn't come to mind.","I do agree with his gun policy.  I do agree with that I like the although he can be extremely aggressive, hte non-back down personality he has is very much appealing. And the way he has conducted business with the US so far and differnet policies and assisting with treaties and trades with other countries all of that has made me want to keep in office.","I'd say the biggest pet peave I have is htat although he is confident some of the things he says either on twitter or television come off as foolish or petty and on occasion I wouldn't want that representing me as president. Although I believe he's assisted with coronavirus I believe it was underplayed and has someone who is ""essential worker"" that has had to work through, a lot of my friends and family did get coronavirus due to the lack luster policies put into place.",Federal debt/economy
1. Strong Democrat,207771,2. Liberal,46,NA,NA,NA,"He lies about everything and really has no knowledge about our country, much less about our government.",How the current president has made a mockery of Democracy.
7. Strong Republican,207788,6. Conservative,71,NA,Supports radical left wing of Democrat Party and most of it's policiesWould nominate left leaning Judges to Supreme Court who would not respect our ConstitutionIs infirm/SenileQuestionable dealings with Ukraine and China involving his son Hunter.Very poor job performance while serving in U.S. government for over 45 years.Allowed China and other countries to take jobs from america.Has little or no support from Law Enforcement,Reformed trade with ChinaTax reformsCanada and Mexico Trade reformsThe wallImmigration by meritEnforce immigration lawsConservative Judges appointments to Supreme CourtLift restrictions on oil productionEPA restructureGovernment regulation reductionsFunding the MilitarySupports law enforcement,NA,Main stream media censorship and bias.
1. Strong Democrat,207795,2. Liberal,49,"He is not Donald Trump. His values align with mine in many ways, and I think his running mate, Kamala Harris is great.",NA,NA,"Donald Trump has no skills to be a leader and is a disgusting human being. He is racist, has no compassion for others, and is completely dishonest. I am mortified by what he has done to this country and terrified of the damage he could do if re-elected.",COVID-19 both for the sake of peoples' health and how it is affecting their livelihoods.
3. Independent-Democrat,207818,99. Haven't thought much about this,57,His ability to show empathy,NA,NA,NA,health careracesizm
5. Independent-Republican,207825,5. Slightly conservative,80. Age 80 or older,Not as extreme as Trump.  Trump totally unqualified,If there was a different Republican candidate,NA,"Unqualified.  doesn't seem to understand issues, mismanagement of Covid, Morally corrupt, narrsisistic, etc, etc,",Covid. It must be better controlled
7. Strong Republican,207832,6. Conservative,66,NA,entire Democrat platform,draining the swamp,NA,the deep state doing everything to subvert the current administration
6. Not very strong Republican,207849,6. Conservative,43,NA,NA,hes been doong good,NA,immigration homeless
7. Strong Republican,207856,2. Liberal,55,NA,he is a pedophier and he hasnt done any good for the United States in 20 years and that proves to me that he wont do any good as President,President Trump is for America and not immigrants. He is trying to make America great again and the Democrats are turning everything and everyone against America,NA,joe biden and all democrats do not care about america like President Trump and Republicans do
5. Independent-Republican,207863,5. Slightly conservative,64,NA,Status of mental health,State of the economy,Dislije his personality,Truth. Living by the “Golden Rule”
5. Independent-Republican,207870,4. Moderate; middle of the road,80. Age 80 or older,i THINK HE IS HONEST,NA,NA,He lies He is dishonest.  He cares only about himself.,DISEASE-PERSONAL HEALTH
3. Independent-Democrat,207887,2. Liberal,57,"He's not Donald Trump, and I believe he will try to bring diversity to the forefront of politics.",NA,NA,"He has ZERO experience as a leader, and has proven that over and over again. It is due to this incompetence that we are were we are now!",Fixing the divide created by Trump
2. Not very strong Democrat,207894,3. Slightly liberal,32,NA,NA,NA,"He is an obnoxious racist and all for himself and people of his color, character snd moral backround.","systemic racism against blacks, and rich verus poor"
6. Not very strong Republican,207900,99. Haven't thought much about this,53,NA,do not like Biden,Do not like Biden,NA,country is so dividedp
7. Strong Republican,207924,6. Conservative,68,"Since he has been in office for over 40 years, he has not done much in the past, he will only  lead us to higher taxes ( which he stated) and lead us to a socialist agenda to bow to the will of his running mate. I do not trust him and never had. I feel that he and his family are still involved in shady deals with the Ukraine. I do not feel that we survived a move from under the thumb of England to become a Marxist nation.","Him, he is untrustworthy.","He has brought back the economy from the abysmal one left by his predecessor, His support of military and Law Enforcement Officers. He does not agree with antifa and their Marxist tactics. He has offered to bail out the Post office, yet has bee stonewalled by Dems.  He calls out the Media for their tactics to censor conservative views. He has not raised taxes. He believes in the constitution.   While he is brash, he gets the job done. He is not bowing down to foreign countries and their dictates. He loves America.",NA,"attempts to introduce socialism, the pandemic, government officials that only are there for thier personal agenda and not represent the public that voted them in."
3. Independent-Democrat,207931,4. Moderate; middle of the road,67,He seems to be a decent human being.,He sometimes appears to be frail,NA,"I think he is a fraud.  He believes that the American electorate is stupid and if he tells them lies no mater if there is no proof or even if there is proof that he is lieing, that if he says it often enough people will believe him.","Unity, the economy, and COVID-19"
6. Not very strong Republican,207948,6. Conservative,26,NA,He has been in congress for 47 years and done nothing,He is a business man.,NA,NA
2. Not very strong Democrat,207955,99. Haven't thought much about this,50,he for the people,NA,NA,Police violence,war  Finance jobs elderly people
4. Independent,207962,4. Moderate; middle of the road,33,NA,NA,NA,he doesnt know what he is doin in the office,nana
1. Strong Democrat,207979,3. Slightly liberal,58,I think it is too late to matter. He is too old. Sounds crazy. And none of his VP candidates represent me.,His VP Candidate.Kamala is lovely but didn't care for her views during the debates.,I do not like Joe Bidden. I am torn as to what to vote. As crazy as it sounds Trump seems to be more stable.,A better democratic canidate.,Social unrest in the large cities. Theft is not protest.
2. Not very strong Democrat,207986,2. Liberal,36,"He seems to want to help people in the U.S., not just help himself.",NA,NA,"Lack of morals, understanding of science/ data, narcissism, nepotism, lying, demagoguery, disrespect for the lay/constitution etc.",i think the first issue is the polarization of people and division. we cannot solve the problems we're facing when people are unwilling to listen and learn or meet in the middle. Next I would say not prioritizing education. Then the systemic discrimination of minorities that perpetuates poverty and other problems. Greed is another main issue: protecting pocket books over people. Big business influencing politics is another main issue. Now that I think about it the environment and global warming should go near the top of the list. The idea that we cannot trust the press or science is also a scary issue that we face.
6. Not very strong Republican,207993,99. Haven't thought much about this,46,I believe he can do a lot for this country.,NA,NA,checkoff,corona virus pandemic
3. Independent-Democrat,208002,99. Haven't thought much about this,30,he's better than Trump when it comes to carrying and conducting himself as the President of the United States,NA,NA,his ignorant comments on racism his unethical points of view life in general and his blunt but yet immature persona he holds as a United States president,"racism, inequality, taxes"
2. Not very strong Democrat,208019,3. Slightly liberal,78,"He is an honest, imperfect, hardworking person. He has many years of experience. He will try to represent all Americans. He will nominate people for his cabinet who will try to do an honest and quality job. He understands international issues and will act in the best interest of this country at all times.",NA,NA,Mr. Trump appears to act only to his personal benefit. He sees almost all issues as transactional issues. He has few people around him who are acting in the interest of all Americans. He failed to give up his control of his business interests; has tried to profit from his position. He has family members acting in key positions. He fires people who disagree with him and can not benefit frim mistakes he makes. His record in international issues is not in the best interest of this country.,"Pandemic, economy, division, unemployment, federal relief package"
1. Strong Democrat,208026,99. Haven't thought much about this,70,"I feel that he is a good person for president, I believe that most of the things he says is true, also I believe that he likes all race of people",NA,NA,lies I believe he doesn't like anyone that's not rich,race and poor people
5. Independent-Republican,208033,5. Slightly conservative,53,NA,Do not agree with the Democratic views,Not a better option,He doesn't know when to be quiet.,"Due to COVID, the economy will certainly is/be a problem. Child welfare needs help, parents should not get as many chances as they do to continue keeping their children in and out of the system. There needs to be more assistance with mental illness to help assist with welfare and homelessness."
3. Independent-Democrat,208040,3. Slightly liberal,59,"Joe Biden represents what I value in a Leader. He best represents my values, and gives me hope that our nation can be made whole, and heal from the damage caused by the trump administration.",NA,NA,"With the exception of the Animal Rights bill, Donald Trump does not represent anything I stand for. His incompetence and racism has devolved our country.","Covid19, Republican refusal (cowardice) to stand up to Trump, Trump’s determination to undermine democracy."
5. Independent-Republican,208057,6. Conservative,39,NA,NA,represents the people and pushes for less government control,NA,socialism definding the police
2. Not very strong Democrat,208088,4. Moderate; middle of the road,46,he is not Donald Trump. he worked with Obama,NA,NA,he is a liar. he is for Donald not America.  He is for Donald’s America,Dealing with Covid-19 and Trump's refusal to concede
6. Not very strong Republican,208095,6. Conservative,69,NA,want smaller government with more state control,strong stance on china andthe trade deficet,NA,"racism, truth in media reporting"
4. Independent,208101,5. Slightly conservative,80. Age 80 or older,he has little leadership experience.  His political life has been as a member of a committee (Senate). Leadership requires executive experience. IMO,same answer as last question,"No comment  Answer was delayed so I forgot the question. Thus no answer,  Sorry",NA,Debt in the long runTenure in the education systemPoor education protected by the teacher's unionsThe threat of globalism sponsored by George Soras and company
2. Not very strong Democrat,208132,2. Liberal,31,He's not Donald Trump,He is too old,NA,"He is a pathological narcissist who is delights in trolling, seeding chaos, and does things only for his own personal gain. There is not an empathetic bone in his body. He simultaneously strives to terrorize minorities, immigrants, women, and those less fortune that him in the United States, while also attempting to destroy our standing within the international community. He will stop at nothing to gain power, and even hearing his voice invokes strong feelings of disgust. His response to COVID-19 pandemic has been criminal, and his hands are thick with the blood of countless Americans. His hatred of science and reason is against everything I stand for, and I would sooner vote for a rotten potato to lead our country.",Getting the COVID pandemic under control
5. Independent-Republican,208149,6. Conservative,49,NA,His association and pandering with the far left progressive movement.,Good Economy.  Job performance at getting things done.,NA,National Debt.  If our economy struggles or collapses no other issue will matter.  We would not be able to pay for it.
1. Strong Democrat,208156,3. Slightly liberal,41,He is not Donald Trump! He stands in accordance with democracy. He is not Donald Trump.,NA,NA,"The deficit has increased by 2 trillion in the first 3 years in office, tone deaf response on civil rights issues, and a slow and bungled response to a national health crisis for starters. He also raised my taxes.",POLITICAL DIVISIONS
1. Strong Democrat,208163,4. Moderate; middle of the road,58,He seems to be more focused on the every day lives of people and the division that we are in today,NA,NA,Doesn't concern himself about the Black lives movement. plus he is more concerned about the upcoming election,Racisim. Blacks not treated equally
3. Independent-Democrat,208170,2. Liberal,32,He is not Donald Trump.,NA,NA,"Too long to list in detail. His track record since his 2016 campaign and all the damage and division he has caused in this country, his general lack of respect for his job as president and anyone who is not perfectly aligned with him, his lack of trustworthiness, his mismanagement of the pandemic, his inability to condemn white supremacy, his efforts to disinform the public, etc.","Political extremism and the inability to find common ground on both ends of the spectrum, but particularly on the right."
2. Not very strong Democrat,208187,4. Moderate; middle of the road,22,He is my second choice.,he's view on war.,NA,"where do I start?  stance on immigration, global warming, COVID-19.  unpresidential candidate.  no ethics whatsoever!","immigration, racism"
6. Not very strong Republican,208194,5. Slightly conservative,59,he is sincere,NA,not a good leader,"not a good leader, he lies, he is self-centered",self centered leader
2. Not very strong Democrat,208200,2. Liberal,29,His ideals line up with my own.,Sometimes his way of thinking appears outdated.,NA,Donald Trump is everything an American president should not be.,political gains
7. Strong Republican,208217,6. Conservative,69,NA,He is senile and his policies are way out of line on foreign affairs and the economy.,"His policy on China, jobs creation and economic policies.",NA,"Joe Biden and his liberal views, Kamala is worse.  Election fraud is a huge issue we need to fix in this country and clean it up. China and our economy. Joe's foreign policies and stacking the supreme court, too many issues to name but these are all very troublesome."
4. Independent,208231,99. Haven't thought much about this,39,NA,The fact that he does not seem to want to help the people. He seems to be a guy that would want us to be his slaves in one form or another.,"He seems to be a guy that wants to help the people. The fact the Facebook and Twitter have either banned, blocked, or withheld his posts prove that in one form or another.",NA,How the people have been divided due to the COVID-19 problem and the way the information will be contradicted in one form or another.
4. Independent,208248,2. Liberal,39,"He isn't Donald Trump.   I know that is a bad reason,  but it's mine",NA,NA,"He is Donald Trump,  arguably the worst person to ever be President","Healthcare, by far"
7. Strong Republican,208255,99. Haven't thought much about this,64,NA,From what I understood I wouldn't vote for him if he was the last man on earth.,He has done what he said he was going to do.,NA,NA
6. Not very strong Republican,208262,99. Haven't thought much about this,53,"He has a plan for the virus.  He has political experience,  He will not treat the role like a reality TV show.   He picked a decent VP",NA,NA,"He is not fit to be president.  Its not his fault the COVID 19 made it to the US.  But the handling of it since them is his fault.  He disbanded the pandemic team,  and has no plan, people are dying every minute and he says ""It is what it is""   I am embarrassed that he is our president",covid. not talking it seriously. it did not have to get this bad
5. Independent-Republican,208279,7. Extremely conservative,65,NA,not a leader for the country,not a career politician,NA,government corruption
4. Independent,208286,5. Slightly conservative,36,He seems to want to help people but can't be no more worse than Trump at this point.,NA,NA,He lies alot. He played off the covid 19 like its nothing. Has not anything to make my life any easier.,division and high taxes
3. Independent-Democrat,208293,-9. Refused,76,"Character, experience, believability, humanity",NA,NA,"His whole character, lies, narcissism",Covid/Pandemic; lack of national response; failure to put country on adequate footing to fight what really is a war against the virus; lack of coordination; failure to follow the science and scientists' recommendations
1. Strong Democrat,208309,4. Moderate; middle of the road,59,Man of Integrity,NA,NA,hes just low down and filty.,systemic racism in all segment of society
7. Strong Republican,208316,7. Extremely conservative,51,NA,Joe Biden is pro chooce md seems to waver on major issues. He appears to have used his political position for personal hain for himself and jis family.,"He gets results, is able to make decisions, is pro-life, supports the military and law endorcement, improves the economy, and creates jobs.",NA,reverse discrimination
7. Strong Republican,208323,5. Slightly conservative,49,NA,"Expanded Obamacare, raising minimum wage","Stance on global economy, more America first perspective, support of police and military",NA,"Segregation/racism, socialism, veterans admin, small business funding, rampant low education"
1. Strong Democrat,208330,2. Liberal,29,I like his passion for equal rights and his understanding we are at a very important moment in our history when it comes to fighting for racial equality.,NA,NA,Everything he has done as president.,"COVID-19, the economy, equal rights"
2. Not very strong Democrat,208347,99. Haven't thought much about this,29,NA,NA,NA,Lies a lot. Covid response,Covid-19
