,age_group,partyid_3cat,libcon,trump_therm,harris_therm
960,55-64,Republican,4. Moderate; middle of the road,85.0,70.0
962,55-64,Republican,6. Conservative,100.0,0.0
963,45-54,Democrat,2. Liberal,0.0,100.0
965,55-64,Republican,4. Moderate; middle of the road,75.0,15.0
968,35-44,Democrat,4. Moderate; middle of the road,30.0,85.0
970,25-34,Republican,6. Conservative,90.0,0.0
973,55-64,Republican,5. Slightly conservative,35.0,20.0
974,45-54,Democrat,6. Conservative,0.0,100.0
975,45-54,Democrat,2. Liberal,0.0,100.0
978,35-44,Democrat,3. Slightly liberal,15.0,60.0
979,45-54,Democrat,3. Slightly liberal,0.0,85.0
983,35-44,Democrat,2. Liberal,0.0,80.0
984,35-44,Republican,5. Slightly conservative,90.0,0.0
987,25-34,Democrat,4. Moderate; middle of the road,0.0,65.0
990,25-34,Democrat,2. Liberal,0.0,95.0
991,65+,Democrat,2. Liberal,0.0,75.0
992,45-54,Democrat,1. Extremely liberal,0.0,85.0
994,35-44,Republican,6. Conservative,100.0,0.0
995,65+,Republican,5. Slightly conservative,100.0,0.0
996,35-44,Democrat,2. Liberal,0.0,60.0
999,18-24,Democrat,1. Extremely liberal,0.0,65.0
1000,25-34,Democrat,3. Slightly liberal,0.0,85.0
1002,25-34,Democrat,1. Extremely liberal,0.0,40.0
1004,55-64,Republican,6. Conservative,100.0,0.0
1006,35-44,Republican,5. Slightly conservative,85.0,15.0
1007,25-34,Republican,5. Slightly conservative,40.0,30.0
1008,45-54,Democrat,2. Liberal,0.0,75.0
1011,35-44,Democrat,2. Liberal,0.0,90.0
1012,45-54,Democrat,5. Slightly conservative,30.0,75.0
1013,55-64,Democrat,3. Slightly liberal,0.0,70.0
1014,25-34,Democrat,4. Moderate; middle of the road,0.0,50.0
1015,35-44,Democrat,3. Slightly liberal,2.0,60.0
1016,25-34,Republican,6. Conservative,100.0,0.0
1018,45-54,Democrat,3. Slightly liberal,0.0,85.0
1021,55-64,Independent,5. Slightly conservative,0.0,50.0
1022,45-54,Democrat,2. Liberal,0.0,75.0
1023,45-54,Republican,2. Liberal,85.0,0.0
1024,55-64,Democrat,5. Slightly conservative,0.0,50.0
1027,35-44,Democrat,4. Moderate; middle of the road,0.0,85.0
1028,65+,Democrat,2. Liberal,0.0,100.0
1034,35-44,Democrat,4. Moderate; middle of the road,50.0,70.0
1036,25-34,Republican,6. Conservative,0.0,85.0
1037,35-44,Republican,5. Slightly conservative,85.0,5.0
1039,45-54,Republican,4. Moderate; middle of the road,70.0,0.0
1040,45-54,Republican,4. Moderate; middle of the road,40.0,15.0
1041,35-44,Republican,6. Conservative,70.0,15.0
1042,55-64,Democrat,2. Liberal,0.0,85.0
1043,25-34,Republican,5. Slightly conservative,70.0,0.0
1048,55-64,Democrat,4. Moderate; middle of the road,0.0,3.0
1050,35-44,Democrat,4. Moderate; middle of the road,0.0,50.0
1051,35-44,Republican,6. Conservative,85.0,15.0
1053,55-64,Democrat,2. Liberal,0.0,100.0
1056,35-44,Republican,6. Conservative,85.0,30.0
1057,55-64,Democrat,2. Liberal,0.0,100.0
1058,55-64,Democrat,3. Slightly liberal,5.0,75.0
1061,35-44,Republican,5. Slightly conservative,85.0,40.0
1064,35-44,Republican,5. Slightly conservative,55.0,45.0
1066,25-34,Democrat,1. Extremely liberal,0.0,70.0
1067,25-34,Democrat,3. Slightly liberal,0.0,70.0
1068,55-64,Republican,6. Conservative,100.0,0.0
1069,45-54,Democrat,2. Liberal,0.0,100.0
1073,55-64,Democrat,4. Moderate; middle of the road,0.0,100.0
1078,35-44,Republican,4. Moderate; middle of the road,50.0,50.0
1079,35-44,Democrat,4. Moderate; middle of the road,0.0,75.0
1081,55-64,Republican,5. Slightly conservative,100.0,15.0
1082,35-44,Democrat,2. Liberal,0.0,100.0
1083,55-64,Republican,5. Slightly conservative,85.0,15.0
1084,35-44,Republican,4. Moderate; middle of the road,0.0,60.0
1085,55-64,Democrat,4. Moderate; middle of the road,0.0,85.0
1086,65+,Democrat,3. Slightly liberal,0.0,70.0
1087,45-54,Democrat,2. Liberal,0.0,85.0
1090,35-44,Democrat,3. Slightly liberal,30.0,70.0
1091,55-64,Republican,5. Slightly conservative,30.0,60.0
1092,45-54,Republican,5. Slightly conservative,90.0,10.0
1094,65+,Democrat,5. Slightly conservative,0.0,70.0
1096,45-54,Republican,4. Moderate; middle of the road,85.0,0.0
1097,55-64,Democrat,6. Conservative,15.0,85.0
1100,35-44,Republican,6. Conservative,100.0,0.0
1101,55-64,Republican,6. Conservative,100.0,0.0
1102,45-54,Republican,6. Conservative,75.0,0.0
1104,55-64,Republican,5. Slightly conservative,85.0,0.0
1107,35-44,Democrat,2. Liberal,0.0,100.0
1108,35-44,Republican,6. Conservative,85.0,30.0
1110,65+,Republican,7. Extremely conservative,100.0,0.0
1111,55-64,Democrat,4. Moderate; middle of the road,0.0,100.0
1112,35-44,Democrat,2. Liberal,0.0,100.0
1113,45-54,Republican,5. Slightly conservative,60.0,0.0
1114,45-54,Democrat,2. Liberal,0.0,100.0
1115,45-54,Democrat,4. Moderate; middle of the road,15.0,60.0
1117,25-34,Republican,6. Conservative,100.0,0.0
1119,45-54,Republican,1. Extremely liberal,100.0,0.0
1122,25-34,Democrat,4. Moderate; middle of the road,0.0,60.0
1124,65+,Democrat,2. Liberal,0.0,100.0
1126,35-44,Republican,6. Conservative,100.0,0.0
1127,35-44,Republican,7. Extremely conservative,75.0,0.0
1129,25-34,Independent,4. Moderate; middle of the road,50.0,50.0
1130,45-54,Democrat,2. Liberal,5.0,90.0
1133,25-34,Democrat,5. Slightly conservative,80.0,35.0
1134,45-54,Democrat,1. Extremely liberal,0.0,30.0
1136,35-44,Republican,6. Conservative,70.0,0.0
1137,45-54,Democrat,2. Liberal,0.0,100.0
1138,35-44,Republican,6. Conservative,60.0,40.0
1139,35-44,Republican,7. Extremely conservative,100.0,0.0
1140,55-64,Republican,6. Conservative,60.0,0.0
1142,55-64,Republican,7. Extremely conservative,100.0,0.0
1144,25-34,Democrat,3. Slightly liberal,60.0,30.0
1151,55-64,Democrat,3. Slightly liberal,0.0,95.0
1152,35-44,Democrat,2. Liberal,0.0,75.0
1153,55-64,Republican,6. Conservative,85.0,15.0
1154,45-54,Republican,4. Moderate; middle of the road,50.0,0.0
1155,35-44,Democrat,4. Moderate; middle of the road,0.0,50.0
1158,45-54,Democrat,6. Conservative,0.0,100.0
1159,35-44,Republican,7. Extremely conservative,100.0,0.0
1161,35-44,Democrat,3. Slightly liberal,0.0,40.0
1162,45-54,Democrat,2. Liberal,15.0,85.0
1164,35-44,Republican,6. Conservative,0.0,70.0
1165,55-64,Republican,6. Conservative,40.0,0.0
1167,25-34,Democrat,4. Moderate; middle of the road,0.0,70.0
1168,35-44,Republican,6. Conservative,70.0,15.0
1169,45-54,Democrat,2. Liberal,0.0,100.0
1171,35-44,Republican,7. Extremely conservative,100.0,0.0
1172,45-54,Republican,5. Slightly conservative,60.0,30.0
1176,35-44,Republican,6. Conservative,85.0,0.0
1177,55-64,Republican,5. Slightly conservative,70.0,40.0
1179,35-44,Independent,1. Extremely liberal,0.0,85.0
1182,55-64,Republican,6. Conservative,100.0,0.0
1187,25-34,Democrat,3. Slightly liberal,0.0,70.0
1188,35-44,Republican,6. Conservative,100.0,0.0
1189,45-54,Republican,3. Slightly liberal,70.0,30.0
1190,35-44,Republican,6. Conservative,70.0,30.0
1192,65+,Democrat,3. Slightly liberal,0.0,70.0
1195,55-64,Republican,5. Slightly conservative,40.0,100.0
1197,45-54,Republican,5. Slightly conservative,80.0,30.0
1198,25-34,Democrat,3. Slightly liberal,10.0,70.0
1200,35-44,Democrat,2. Liberal,15.0,70.0
1201,35-44,Republican,6. Conservative,70.0,0.0
1202,25-34,Republican,5. Slightly conservative,55.0,35.0
1203,25-34,Democrat,3. Slightly liberal,0.0,85.0
1204,35-44,Democrat,2. Liberal,60.0,40.0
1206,45-54,Democrat,3. Slightly liberal,0.0,70.0
1207,55-64,Democrat,3. Slightly liberal,0.0,85.0
1211,35-44,Democrat,2. Liberal,15.0,80.0
1213,35-44,Republican,2. Liberal,70.0,45.0
1214,35-44,Republican,6. Conservative,85.0,40.0
1215,25-34,Independent,4. Moderate; middle of the road,60.0,40.0
1217,55-64,Democrat,3. Slightly liberal,0.0,70.0
1218,35-44,Democrat,3. Slightly liberal,5.0,70.0
1219,45-54,Democrat,3. Slightly liberal,0.0,85.0
1220,35-44,Republican,4. Moderate; middle of the road,20.0,50.0
1226,45-54,Democrat,4. Moderate; middle of the road,15.0,40.0
1228,55-64,Democrat,4. Moderate; middle of the road,0.0,70.0
1229,25-34,Democrat,4. Moderate; middle of the road,0.0,85.0
1231,45-54,Democrat,2. Liberal,5.0,80.0
1232,45-54,Democrat,3. Slightly liberal,5.0,70.0
1236,35-44,Republican,6. Conservative,95.0,0.0
1238,25-34,Republican,5. Slightly conservative,10.0,70.0
1239,45-54,Democrat,6. Conservative,0.0,85.0
1242,45-54,Democrat,4. Moderate; middle of the road,0.0,70.0
1243,35-44,Democrat,2. Liberal,0.0,90.0
1245,55-64,Republican,5. Slightly conservative,100.0,0.0
1246,35-44,Republican,5. Slightly conservative,20.0,20.0
1250,35-44,Republican,6. Conservative,100.0,1.0
1252,35-44,Democrat,2. Liberal,0.0,60.0
1254,55-64,Republican,6. Conservative,100.0,0.0
1255,25-34,Democrat,2. Liberal,0.0,72.0
1258,25-34,Democrat,4. Moderate; middle of the road,30.0,60.0
1260,65+,Democrat,5. Slightly conservative,0.0,85.0
1262,25-34,Democrat,2. Liberal,0.0,75.0
1263,35-44,Democrat,3. Slightly liberal,15.0,85.0
1264,35-44,Democrat,4. Moderate; middle of the road,85.0,0.0
1265,35-44,Democrat,3. Slightly liberal,0.0,90.0
1268,65+,Democrat,4. Moderate; middle of the road,0.0,90.0
1269,55-64,Republican,3. Slightly liberal,70.0,0.0
1274,25-34,Democrat,2. Liberal,0.0,100.0
1275,55-64,Republican,4. Moderate; middle of the road,100.0,15.0
1278,45-54,Republican,7. Extremely conservative,90.0,0.0
1280,55-64,Republican,7. Extremely conservative,95.0,0.0
1281,45-54,Republican,7. Extremely conservative,98.0,15.0
1283,45-54,Republican,4. Moderate; middle of the road,85.0,0.0
1285,55-64,Republican,5. Slightly conservative,5.0,85.0
1286,55-64,Republican,5. Slightly conservative,30.0,40.0
1287,35-44,Republican,6. Conservative,60.0,0.0
1288,45-54,Democrat,4. Moderate; middle of the road,10.0,85.0
1290,55-64,Democrat,4. Moderate; middle of the road,15.0,85.0
1291,25-34,Republican,6. Conservative,100.0,0.0
1292,55-64,Democrat,3. Slightly liberal,0.0,85.0
1296,45-54,Democrat,2. Liberal,3.0,85.0
1297,55-64,Democrat,2. Liberal,0.0,85.0
1298,35-44,Democrat,1. Extremely liberal,0.0,100.0
1299,35-44,Republican,5. Slightly conservative,60.0,10.0
1300,45-54,Republican,5. Slightly conservative,90.0,30.0
1303,35-44,Republican,6. Conservative,100.0,0.0
1305,35-44,Democrat,2. Liberal,0.0,100.0
1306,45-54,Republican,6. Conservative,70.0,20.0
1307,55-64,Republican,6. Conservative,85.0,15.0
1310,45-54,Democrat,3. Slightly liberal,0.0,80.0
1313,55-64,Independent,4. Moderate; middle of the road,0.0,60.0
1317,55-64,Republican,6. Conservative,60.0,50.0
1318,35-44,Democrat,2. Liberal,0.0,70.0
1320,45-54,Democrat,5. Slightly conservative,100.0,50.0
1321,55-64,Democrat,7. Extremely conservative,15.0,30.0
1322,45-54,Democrat,2. Liberal,0.0,100.0
1325,25-34,Democrat,2. Liberal,0.0,90.0
1326,45-54,Republican,6. Conservative,100.0,0.0
1327,35-44,Republican,6. Conservative,60.0,15.0
1331,25-34,Republican,6. Conservative,85.0,15.0
1332,55-64,Democrat,2. Liberal,0.0,80.0
1336,45-54,Democrat,4. Moderate; middle of the road,0.0,100.0
1339,65+,Republican,6. Conservative,85.0,30.0
1340,25-34,Democrat,1. Extremely liberal,0.0,60.0
1342,55-64,Republican,7. Extremely conservative,85.0,30.0
1344,25-34,Democrat,4. Moderate; middle of the road,0.0,100.0
1350,55-64,Republican,7. Extremely conservative,90.0,0.0
1351,45-54,Democrat,4. Moderate; middle of the road,0.0,85.0
1355,45-54,Republican,5. Slightly conservative,50.0,15.0
1356,55-64,Democrat,6. Conservative,0.0,70.0
1359,25-34,Republican,5. Slightly conservative,60.0,30.0
1360,55-64,Democrat,2. Liberal,0.0,100.0
1364,35-44,Republican,6. Conservative,100.0,0.0
1365,45-54,Democrat,2. Liberal,15.0,85.0
1367,55-64,Democrat,3. Slightly liberal,0.0,100.0
1371,55-64,Democrat,4. Moderate; middle of the road,0.0,90.0
1372,55-64,Republican,7. Extremely conservative,99.0,0.0
1373,45-54,Republican,7. Extremely conservative,80.0,10.0
1375,45-54,Republican,2. Liberal,100.0,0.0
1377,45-54,Independent,4. Moderate; middle of the road,15.0,90.0
1378,55-64,Republican,6. Conservative,100.0,0.0
1379,55-64,Republican,5. Slightly conservative,85.0,0.0
1380,25-34,Republican,7. Extremely conservative,100.0,0.0
1384,45-54,Independent,4. Moderate; middle of the road,60.0,15.0
1386,55-64,Democrat,3. Slightly liberal,0.0,70.0
1388,45-54,Republican,6. Conservative,85.0,15.0
1390,35-44,Republican,6. Conservative,85.0,40.0
1391,35-44,Republican,6. Conservative,85.0,0.0
1395,55-64,Republican,6. Conservative,40.0,40.0
1396,45-54,Democrat,2. Liberal,0.0,90.0
1397,25-34,Republican,6. Conservative,100.0,0.0
1398,55-64,Democrat,4. Moderate; middle of the road,85.0,100.0
1400,55-64,Republican,6. Conservative,60.0,0.0
1401,25-34,Republican,4. Moderate; middle of the road,50.0,50.0
1402,35-44,Democrat,3. Slightly liberal,0.0,60.0
1404,35-44,Democrat,2. Liberal,0.0,60.0
1405,45-54,Democrat,4. Moderate; middle of the road,0.0,100.0
1408,45-54,Republican,5. Slightly conservative,85.0,40.0
1409,25-34,Republican,4. Moderate; middle of the road,100.0,0.0
1414,55-64,Republican,4. Moderate; middle of the road,60.0,15.0
1415,55-64,Democrat,5. Slightly conservative,85.0,15.0
1417,45-54,Republican,5. Slightly conservative,85.0,0.0
1419,35-44,Democrat,3. Slightly liberal,0.0,60.0
1420,35-44,Democrat,6. Conservative,0.0,100.0
1422,45-54,Democrat,3. Slightly liberal,0.0,70.0
1424,55-64,Republican,4. Moderate; middle of the road,60.0,50.0
1425,45-54,Democrat,3. Slightly liberal,0.0,85.0
1426,55-64,Republican,4. Moderate; middle of the road,0.0,40.0
1427,45-54,Republican,6. Conservative,15.0,10.0
1432,45-54,Republican,4. Moderate; middle of the road,40.0,60.0
1433,35-44,Independent,4. Moderate; middle of the road,30.0,15.0
1434,55-64,Democrat,3. Slightly liberal,0.0,90.0
1437,45-54,Democrat,2. Liberal,0.0,75.0
1438,25-34,Republican,6. Conservative,92.0,0.0
1440,45-54,Republican,4. Moderate; middle of the road,40.0,60.0
1443,55-64,Independent,4. Moderate; middle of the road,50.0,60.0
1445,25-34,Democrat,1. Extremely liberal,0.0,77.0
1446,25-34,Democrat,3. Slightly liberal,30.0,45.0
1447,55-64,Republican,5. Slightly conservative,0.0,60.0
1448,35-44,Democrat,3. Slightly liberal,0.0,75.0
1451,55-64,Democrat,5. Slightly conservative,50.0,85.0
1452,35-44,Democrat,2. Liberal,0.0,70.0
1453,55-64,Democrat,4. Moderate; middle of the road,0.0,70.0
1457,55-64,Democrat,3. Slightly liberal,0.0,85.0
1460,25-34,Republican,5. Slightly conservative,73.0,33.0
1461,25-34,Republican,4. Moderate; middle of the road,70.0,30.0
1463,55-64,Republican,7. Extremely conservative,100.0,0.0
1464,35-44,Democrat,4. Moderate; middle of the road,15.0,60.0
1465,45-54,Republican,4. Moderate; middle of the road,85.0,0.0
1471,35-44,Democrat,3. Slightly liberal,0.0,100.0
1473,55-64,Republican,6. Conservative,90.0,10.0
1475,25-34,Republican,4. Moderate; middle of the road,100.0,0.0
1479,45-54,Republican,6. Conservative,95.0,0.0
1480,55-64,Republican,4. Moderate; middle of the road,0.0,70.0
1481,45-54,Democrat,2. Liberal,0.0,30.0
1483,45-54,Democrat,4. Moderate; middle of the road,40.0,100.0
1484,55-64,Democrat,3. Slightly liberal,15.0,70.0
1489,45-54,Democrat,5. Slightly conservative,70.0,50.0
1494,45-54,Democrat,2. Liberal,40.0,50.0
1497,25-34,Democrat,3. Slightly liberal,0.0,100.0
1499,35-44,Republican,3. Slightly liberal,85.0,0.0
1503,55-64,Republican,6. Conservative,85.0,0.0
1508,25-34,Democrat,2. Liberal,0.0,70.0
1509,45-54,Democrat,3. Slightly liberal,0.0,80.0
1510,25-34,Republican,5. Slightly conservative,60.0,50.0
1513,35-44,Democrat,2. Liberal,0.0,95.0
1517,35-44,Republican,6. Conservative,80.0,15.0
1519,45-54,Democrat,3. Slightly liberal,0.0,85.0
1520,55-64,Republican,4. Moderate; middle of the road,70.0,40.0
1521,65+,Democrat,4. Moderate; middle of the road,15.0,85.0
1522,35-44,Republican,5. Slightly conservative,15.0,60.0
1525,25-34,Republican,4. Moderate; middle of the road,60.0,0.0
1529,25-34,Republican,5. Slightly conservative,70.0,0.0
1531,35-44,Democrat,2. Liberal,0.0,90.0
1532,25-34,Republican,5. Slightly conservative,70.0,15.0
1535,45-54,Democrat,3. Slightly liberal,0.0,100.0
1538,65+,Republican,6. Conservative,40.0,40.0
1539,35-44,Independent,4. Moderate; middle of the road,40.0,40.0
1541,35-44,Democrat,1. Extremely liberal,0.0,100.0
1544,45-54,Republican,5. Slightly conservative,80.0,20.0
1546,55-64,Republican,6. Conservative,85.0,15.0
1549,45-54,Republican,6. Conservative,70.0,10.0
1550,55-64,Republican,6. Conservative,85.0,30.0
1552,45-54,Democrat,4. Moderate; middle of the road,0.0,50.0
1553,35-44,Republican,5. Slightly conservative,85.0,85.0
1556,45-54,Republican,5. Slightly conservative,100.0,0.0
1557,45-54,Democrat,2. Liberal,40.0,30.0
1558,45-54,Republican,4. Moderate; middle of the road,50.0,15.0
1559,45-54,Democrat,4. Moderate; middle of the road,0.0,70.0
1560,35-44,Democrat,3. Slightly liberal,0.0,70.0
1561,55-64,Democrat,2. Liberal,0.0,100.0
1563,65+,Democrat,5. Slightly conservative,0.0,100.0
1564,45-54,Democrat,3. Slightly liberal,0.0,65.0
1567,45-54,Independent,3. Slightly liberal,100.0,0.0
1569,35-44,Democrat,3. Slightly liberal,0.0,85.0
1570,45-54,Democrat,4. Moderate; middle of the road,15.0,85.0
1571,55-64,Republican,6. Conservative,40.0,80.0
1574,55-64,Democrat,4. Moderate; middle of the road,0.0,85.0
1575,25-34,Republican,4. Moderate; middle of the road,60.0,40.0
1578,55-64,Republican,4. Moderate; middle of the road,85.0,10.0
1579,65+,Democrat,3. Slightly liberal,0.0,85.0
1581,55-64,Republican,3. Slightly liberal,0.0,85.0
1582,45-54,Republican,6. Conservative,85.0,0.0
1584,25-34,Democrat,2. Liberal,0.0,85.0
1586,45-54,Democrat,1. Extremely liberal,0.0,95.0
1587,45-54,Democrat,4. Moderate; middle of the road,0.0,85.0
1588,35-44,Democrat,2. Liberal,0.0,95.0
1590,35-44,Republican,7. Extremely conservative,90.0,0.0
1591,35-44,Republican,6. Conservative,85.0,0.0
1592,35-44,Republican,5. Slightly conservative,60.0,70.0
1593,35-44,Republican,6. Conservative,95.0,0.0
1595,25-34,Republican,5. Slightly conservative,80.0,0.0
1598,45-54,Democrat,5. Slightly conservative,60.0,40.0
1599,55-64,Republican,4. Moderate; middle of the road,70.0,15.0
1602,25-34,Democrat,5. Slightly conservative,50.0,50.0
1603,45-54,Democrat,4. Moderate; middle of the road,25.0,75.0
1604,55-64,Republican,7. Extremely conservative,100.0,0.0
1605,55-64,Democrat,2. Liberal,35.0,75.0
1606,35-44,Democrat,1. Extremely liberal,0.0,60.0
1607,25-34,Democrat,2. Liberal,0.0,85.0
1608,35-44,Democrat,2. Liberal,0.0,70.0
1610,35-44,Republican,6. Conservative,70.0,30.0
1611,45-54,Democrat,2. Liberal,0.0,90.0
1613,45-54,Democrat,1. Extremely liberal,0.0,100.0
1614,35-44,Democrat,1. Extremely liberal,0.0,70.0
1617,45-54,Republican,5. Slightly conservative,70.0,25.0
1619,55-64,Democrat,3. Slightly liberal,0.0,85.0
1620,35-44,Republican,6. Conservative,85.0,15.0
1621,45-54,Republican,6. Conservative,85.0,0.0
1623,45-54,Democrat,2. Liberal,0.0,88.0
1628,45-54,Democrat,4. Moderate; middle of the road,40.0,40.0
1629,45-54,Republican,6. Conservative,85.0,0.0
1630,45-54,Republican,6. Conservative,70.0,0.0
1631,55-64,Democrat,3. Slightly liberal,0.0,70.0
1632,55-64,Republican,2. Liberal,40.0,60.0
1633,35-44,Republican,5. Slightly conservative,70.0,15.0
1635,55-64,Republican,6. Conservative,85.0,0.0
1636,25-34,Republican,5. Slightly conservative,90.0,15.0
1637,45-54,Republican,3. Slightly liberal,70.0,15.0
1638,65+,Republican,7. Extremely conservative,100.0,15.0
1641,25-34,Democrat,1. Extremely liberal,1.0,5.0
1645,55-64,Republican,6. Conservative,95.0,0.0
1647,65+,Democrat,1. Extremely liberal,0.0,85.0
1653,35-44,Democrat,2. Liberal,0.0,100.0
1654,35-44,Democrat,1. Extremely liberal,0.0,40.0
1655,55-64,Republican,6. Conservative,100.0,0.0
1657,35-44,Democrat,2. Liberal,50.0,40.0
1659,45-54,Democrat,2. Liberal,0.0,60.0
1662,35-44,Democrat,1. Extremely liberal,0.0,75.0
1665,65+,Democrat,3. Slightly liberal,0.0,70.0
1667,35-44,Democrat,2. Liberal,10.0,50.0
1668,25-34,Democrat,2. Liberal,0.0,100.0
1671,45-54,Democrat,2. Liberal,0.0,100.0
1672,45-54,Republican,4. Moderate; middle of the road,40.0,15.0
1674,55-64,Democrat,3. Slightly liberal,15.0,100.0
1677,25-34,Democrat,2. Liberal,0.0,100.0
1679,55-64,Democrat,1. Extremely liberal,0.0,100.0
1681,55-64,Democrat,4. Moderate; middle of the road,15.0,85.0
1682,35-44,Democrat,1. Extremely liberal,0.0,100.0
1684,35-44,Republican,5. Slightly conservative,100.0,0.0
1689,35-44,Democrat,3. Slightly liberal,30.0,70.0
1691,45-54,Republican,7. Extremely conservative,85.0,2.0
1692,45-54,Republican,6. Conservative,80.0,0.0
1693,35-44,Republican,6. Conservative,100.0,15.0
1694,55-64,Democrat,2. Liberal,0.0,100.0
1695,35-44,Democrat,4. Moderate; middle of the road,0.0,40.0
1696,55-64,Republican,6. Conservative,90.0,0.0
1697,55-64,Democrat,3. Slightly liberal,0.0,85.0
1698,45-54,Independent,4. Moderate; middle of the road,70.0,50.0
1699,45-54,Republican,7. Extremely conservative,100.0,0.0
1701,35-44,Republican,7. Extremely conservative,100.0,0.0
1702,25-34,Republican,5. Slightly conservative,100.0,0.0
1703,45-54,Republican,6. Conservative,60.0,15.0
1704,35-44,Democrat,4. Moderate; middle of the road,0.0,0.0
1705,35-44,Republican,6. Conservative,100.0,0.0
1707,35-44,Democrat,4. Moderate; middle of the road,0.0,85.0
1708,45-54,Democrat,2. Liberal,0.0,85.0
1710,55-64,Democrat,1. Extremely liberal,0.0,60.0
1711,55-64,Democrat,4. Moderate; middle of the road,0.0,100.0
1714,25-34,Republican,5. Slightly conservative,40.0,60.0
1717,45-54,Democrat,3. Slightly liberal,0.0,60.0
1720,55-64,Republican,7. Extremely conservative,100.0,0.0
1721,45-54,Democrat,2. Liberal,1.0,85.0
1722,35-44,Republican,6. Conservative,100.0,0.0
1724,55-64,Democrat,5. Slightly conservative,0.0,60.0
1726,35-44,Republican,6. Conservative,95.0,0.0
1727,55-64,Republican,6. Conservative,85.0,0.0
1728,65+,Republican,7. Extremely conservative,99.0,0.0
1730,35-44,Republican,4. Moderate; middle of the road,60.0,40.0
1731,45-54,Democrat,2. Liberal,0.0,100.0
1732,25-34,Democrat,3. Slightly liberal,0.0,60.0
1734,45-54,Republican,6. Conservative,85.0,15.0
1738,35-44,Republican,6. Conservative,85.0,15.0
1740,25-34,Republican,6. Conservative,70.0,15.0
1743,55-64,Democrat,4. Moderate; middle of the road,0.0,100.0
1744,55-64,Republican,6. Conservative,85.0,0.0
1747,55-64,Democrat,3. Slightly liberal,0.0,85.0
1748,45-54,Democrat,2. Liberal,0.0,100.0
1753,55-64,Republican,6. Conservative,100.0,10.0
1755,35-44,Republican,4. Moderate; middle of the road,15.0,0.0
1756,25-34,Democrat,1. Extremely liberal,0.0,100.0
1761,55-64,Democrat,2. Liberal,0.0,100.0
1762,35-44,Republican,7. Extremely conservative,95.0,0.0
1767,25-34,Republican,4. Moderate; middle of the road,60.0,15.0
1769,25-34,Democrat,1. Extremely liberal,0.0,60.0
1772,35-44,Democrat,4. Moderate; middle of the road,0.0,100.0
1773,55-64,Republican,7. Extremely conservative,95.0,0.0
1775,45-54,Republican,6. Conservative,75.0,20.0
1782,35-44,Republican,5. Slightly conservative,0.0,70.0
1785,45-54,Republican,6. Conservative,100.0,0.0
1787,45-54,Republican,4. Moderate; middle of the road,0.0,85.0
1791,25-34,Republican,3. Slightly liberal,70.0,30.0
1792,55-64,Republican,4. Moderate; middle of the road,70.0,40.0
1797,55-64,Republican,6. Conservative,75.0,25.0
1801,35-44,Democrat,4. Moderate; middle of the road,15.0,40.0
1805,35-44,Republican,4. Moderate; middle of the road,100.0,0.0
1807,55-64,Democrat,3. Slightly liberal,0.0,100.0
1810,45-54,Republican,4. Moderate; middle of the road,40.0,0.0
1811,55-64,Democrat,4. Moderate; middle of the road,30.0,50.0
1812,35-44,Republican,5. Slightly conservative,30.0,60.0
1814,45-54,Republican,4. Moderate; middle of the road,0.0,85.0
1818,35-44,Republican,6. Conservative,15.0,70.0
1819,55-64,Republican,5. Slightly conservative,85.0,0.0
1821,35-44,Republican,4. Moderate; middle of the road,75.0,15.0
1824,55-64,Democrat,3. Slightly liberal,0.0,70.0
1825,35-44,Republican,6. Conservative,90.0,0.0
1831,55-64,Democrat,3. Slightly liberal,0.0,70.0
1833,45-54,Republican,5. Slightly conservative,70.0,40.0
1836,35-44,Democrat,2. Liberal,0.0,85.0
1838,45-54,Democrat,4. Moderate; middle of the road,0.0,70.0
1839,35-44,Democrat,3. Slightly liberal,3.0,95.0
1840,45-54,Republican,6. Conservative,85.0,0.0
1841,55-64,Republican,4. Moderate; middle of the road,0.0,70.0
1844,25-34,Democrat,4. Moderate; middle of the road,15.0,77.0
1845,55-64,Democrat,2. Liberal,0.0,75.0
1847,35-44,Republican,6. Conservative,65.0,0.0
1848,55-64,Republican,7. Extremely conservative,100.0,0.0
1849,45-54,Democrat,5. Slightly conservative,15.0,85.0
1851,55-64,Republican,6. Conservative,90.0,0.0
1853,55-64,Democrat,2. Liberal,0.0,85.0
1857,45-54,Democrat,5. Slightly conservative,0.0,70.0
1861,55-64,Republican,4. Moderate; middle of the road,15.0,40.0
1863,35-44,Democrat,2. Liberal,0.0,100.0
1864,35-44,Republican,6. Conservative,85.0,0.0
1866,45-54,Democrat,3. Slightly liberal,15.0,75.0
1867,45-54,Independent,4. Moderate; middle of the road,10.0,60.0
1868,55-64,Democrat,3. Slightly liberal,0.0,60.0
1872,25-34,Democrat,3. Slightly liberal,0.0,70.0
1873,35-44,Democrat,4. Moderate; middle of the road,0.0,100.0
1874,25-34,Republican,4. Moderate; middle of the road,75.0,0.0
1878,35-44,Democrat,2. Liberal,0.0,100.0
1879,25-34,Republican,7. Extremely conservative,60.0,0.0
1881,35-44,Republican,3. Slightly liberal,0.0,100.0
1882,25-34,Republican,5. Slightly conservative,40.0,50.0
1885,45-54,Democrat,4. Moderate; middle of the road,30.0,60.0
1893,55-64,Democrat,4. Moderate; middle of the road,15.0,85.0
